Source,Source ID,Time,Username,Text,File Attachments,Entity URLs,Latitude,Longitude,Geo Type,Media,Positive Sentiment Confidence,Negative Sentiment Confidence,Source URL
twitter,672026764986687000,2015-12-02T12:17:21Z,_5elo,#AllLivesMatter,,,,,actual,,,,https://twitter.com/_5elo/status/672026764986687488
twitter,671890701567692000,2015-12-02T03:16:41Z,_amrit11,"RT @Teymour_Ashkan: White people: #AllLivesMatter 
Syria: we got refugees 
White people: new phone who dis",,,,,actual,,,,https://twitter.com/_amrit11/status/671890701567692800
twitter,672064291550404000,2015-12-02T14:46:28Z,_ashleythomas,@ADougie13 stop hating on sorority girls!!!!! #AllLivesMatter,,,,,actual,,,,https://twitter.com/_ashleythomas/status/672064291550404608
twitter,671988192573317000,2015-12-02T09:44:04Z,Abbie_Earl,"People who live in Syria don't love their families less, don't feel fear less and don't value their lives any less than us. #AllLivesMatter",,,,,actual,,,,https://twitter.com/Abbie_Earl/status/671988192573317120
twitter,672104569946681000,2015-12-02T17:26:31Z,amitz22uk,"@OfficeOfRG #AllLivesMatter You immature idiotic selective narcissistic moron, shisha mein jhak kar dekh u hypocritical insensitive thing",,,,,actual,,,,https://twitter.com/amitz22uk/status/672104569946681344
twitter,672100297703997000,2015-12-02T17:09:32Z,andreajmusic,RT @MalcolmJamalWar: Yes #AllLivesMatter. Acknowledged. Now can U acknowledge the disportionate # of black ppl dying at the hands of cops? …,,,,,actual,,,,https://twitter.com/andreajmusic/status/672100297703997440
twitter,672040357350256000,2015-12-02T13:11:21Z,ariellechynna,RT @woahhh: @ovomccann @BurningHomeDown @ChavinDontExist @Nicki_TaughtMe @SydneyA @ChuntiBae @XOtesfaye #ALLLIVESMATTER so I can't be racis…,,,,,actual,,,,https://twitter.com/ariellechynna/status/672040357350256640
twitter,671929938690351000,2015-12-02T05:52:35Z,AshaAholic,"RT @The_Anecdoubtal: The #AllLivesMatter & #BlueLivesMatter crowds damning silence following the #ColoradoSpringsShooting -

https://t.co/R…",,http://m.huffpost.com/us/entry/565de1f9e4b079b2818beacd,,,actual,,,,https://twitter.com/AshaAholic/status/671929938690351105
twitter,671949487598936000,2015-12-02T07:10:16Z,ayat,"60 years later: the US has made strides, but civil rights for minorities continues to be a struggle. #AllLivesMatter https://t.co/a2i0NiIVy6",https://twitter.com/USATODAY/status/671660168527011840,https://twitter.com/USATODAY/status/671660168527011840,,,actual,,,,https://twitter.com/ayat/status/671949487598936064
twitter,672052603199488000,2015-12-02T14:00:01Z,BenaBenazeer,That's amazing! Help each other. #AllLivesMatter  https://t.co/2nyxNL8Bla,https://twitter.com/onekollywood/status/672049660538695680,https://twitter.com/onekollywood/status/672049660538695680,4,102,enrichment,,,,https://twitter.com/BenaBenazeer/status/672052603199488000
twitter,671881183437840000,2015-12-02T02:38:51Z,BikerAndBentley,RT @Liberalssuc1: #AllLivesMatter the left is tearing the country apart. https://t.co/9J49niDMI2,,,,,actual,http://pbs.twimg.com/media/CVL-qJMU4AAMnNv.jpg,,,https://twitter.com/BikerAndBentley/status/671881183437840384
twitter,671929259758227000,2015-12-02T05:49:54Z,britjellybeanz,"#AllLivesMatter until it's about refugees, POC's, and basically anyone who ain't white #smh #blacklivesmatter",,,22,114,enrichment,,,1,https://twitter.com/britjellybeanz/status/671929259758227457
twitter,671923806945026000,2015-12-02T05:28:13Z,BurntMayonnaise,RT @deray: And where are all the #BlueLivesMatter & #AllLivesMatter folks? They're silent re: #PlannedParenthood shootings. https://t.co/J8…,https://twitter.com/mattdpearce/status/670678105615261696,https://twitter.com/mattdpearce/status/670678105615261696,,,actual,,,,https://twitter.com/BurntMayonnaise/status/671923806945026048
twitter,671984046503813000,2015-12-02T09:27:36Z,ChampyRules,RT @NSPCA_SA: #waybackwednesday NSPCA has been fighting for South Africa's animals for 60 years and won't stop #AllLivesMatter https://t.co…,,,-26,28,enrichment,http://pbs.twimg.com/media/CVMv7eDWUAAWNQ3.jpg,,,https://twitter.com/ChampyRules/status/671984046503813120
twitter,672009261287915000,2015-12-02T11:07:47Z,CKaruno,"RT @Feminist_Farai: When young leaders push the #AllLivesMatter agenda, I tap out.",,,,,actual,,,,https://twitter.com/CKaruno/status/672009261287915520
twitter,671994466488700000,2015-12-02T10:09:00Z,clivehenry1,@chakabars here for the people on Instagram: “#alllivesmatter If this is true then why are... https://t.co/1S3O1Tqpd0,,http://fb.me/2ePhZLzFF,,,actual,,,,https://twitter.com/clivehenry1/status/671994466488700928
twitter,671991390579122000,2015-12-02T09:56:47Z,cristycurves,"RT @NSPCA_SA: #ChildrenMatter in the lives of animals, and animals matter in the lives of Children. #AllLivesMatter https://t.co/QLBaDkkwG1",,,,,actual,http://pbs.twimg.com/media/CVNkFeEUYAA-jFr.jpg,,,https://twitter.com/cristycurves/status/671991390579122176
twitter,671945149807767000,2015-12-02T06:53:02Z,DaveT_RSA,RT @NSPCA_SA: #30seconds is all it takes to make a difference. SMS CARE to 38018. Each SMS costs R25. #AllLivesMatter https://t.co/11lPqm5I…,,,-34,18,enrichment,http://pbs.twimg.com/media/CVMuuGzVEAAfU6_.jpg,,,https://twitter.com/DaveT_RSA/status/671945149807767552
twitter,672052986802257000,2015-12-02T14:01:32Z,digitalcarmona,"RT @Salon: Spike Lee's ""Chi-Raq"" is a hypnotic, dazzling reproof of the #AllLivesMatter ghouls https://t.co/iw8WaAGlj2 https://t.co/LbmNn1Z…",,http://slnm.us/OJVeZPu,,,actual,http://pbs.twimg.com/media/CVOU90bXAAADg6A.jpg,1,,https://twitter.com/digitalcarmona/status/672052986802257920
twitter,672084103160709000,2015-12-02T16:05:11Z,DoyleGlobal,"The Troll Named #AllLivesMatter: ""The plea is a very simple one: look at it""- James… https://t.co/HKb7LhyAZB https://t.co/GHKvkNWmQN",,http://s.doyle.media/CvMmFr,,,actual,http://pbs.twimg.com/media/CVO47kEUkAAtCcJ.jpg,1,,https://twitter.com/DoyleGlobal/status/672084103160709120
twitter,672067503292461000,2015-12-02T14:59:13Z,DRJAMESCABOT,"RT @Carolde: #trump says #AllLivesMatter we agree 
@realDonaldTrump @DRJAMESCABOT @CJCboi @AnnCoulter @HomerWhite @@joshdill64  https://t.c…",https://twitter.com/nyc4trump2016/status/672057404251574272,https://twitter.com/nyc4trump2016/status/672057404251574272,,,actual,,,,https://twitter.com/DRJAMESCABOT/status/672067503292461056
twitter,671885615139594000,2015-12-02T02:56:28Z,DrJerryFowler,@AlanTonelson @AnnCoulter @Milbank Reverse racism & media deception at all time high. Hillary won't say #ALLLivesMatter & you lie on Trump?,,,,,actual,,,,https://twitter.com/DrJerryFowler/status/671885615139594240
twitter,672054562132398000,2015-12-02T14:07:48Z,DrTMarsh,"RT @gawdduss: Conservatives won't get how #AllLivesMatter erases black people, but will argue passionately about how ""Happy Holidays"" erase…",,,-34,151,enrichment,,,,https://twitter.com/DrTMarsh/status/672054562132398080
twitter,672105123401695000,2015-12-02T17:28:43Z,DylanPowers5,@_EmJayGee 2 total different scenarios lol good try though bud 😉 #AllLivesMatter stop being a racist!,,,,,actual,,,,https://twitter.com/DylanPowers5/status/672105123401695232
