Source,Source ID,Time,Username,Text,File Attachments,Entity URLs,Latitude,Longitude,Geo Type,Media,Positive Sentiment Confidence,Negative Sentiment Confidence,,,Source URL
twitter,672044905192103000,2015-12-02T13:29:26Z,__nicole28,RT @docrocktex26: As I was saying... #BlackLivesMatter #DNC https://t.co/CU6sM0cL6e,https://twitter.com/docrocktex26/status/656924914608291840,https://twitter.com/docrocktex26/status/656924914608291840,,,actual,,,,,,https://twitter.com/SortSonofon/status/672101411698688002
twitter,672039001109487000,2015-12-02T13:05:58Z,__nicole28,RT @docrocktex26: No coincidence the #DNC announced its #BlackLivesMatter Town Hall while PBO's making his most forcefully supportive state…,,,,,actual,,,,,,https://twitter.com/cruise_peter/status/672101130344620032
twitter,672009668223492000,2015-12-02T11:09:24Z,__nicole28,"RT @docrocktex26: If there are voters who are ""turned off"" by the idea of #BlackLivesMatter in 21st century America, fuck them, they can vo…",,,,,actual,,,,,,https://twitter.com/TonyG719/status/672100616290832388
twitter,671913561770340000,2015-12-02T04:47:31Z,__shanewilliams,RT @shecode_s: 1.5 Mil. Out on bail for 150k #JasonVanDyke is a murderer #blacklivesmatter #LaquanMcDonald https://t.co/mE3D9QEfTu,,,,,actual,http://pbs.twimg.com/media/CVGlsbcWEAAX736.jpg,,,,,https://twitter.com/Caitlingeeaitch/status/672100383599288320
twitter,672087565994885000,2015-12-02T16:18:57Z,_HappyWarrior_,"Hear no, see no, speak ALL. #blacklivesmatter #progressive",,,,,actual,,,,,,https://twitter.com/NoliNtshiza/status/672100277185552384
twitter,672016882489233000,2015-12-02T11:38:04Z,_TiffanyWalker_,RT @chellamanart: @Blklivesmatter #BlackLivesMatter https://t.co/JC3hs4xEyP,,,,,actual,http://pbs.twimg.com/media/CVHDJqlWEAEYF1p.jpg,,,,,https://twitter.com/BashyII/status/672100125154664449
twitter,671948889855930000,2015-12-02T07:07:54Z,59w,"ive said it before and ill say it again but god damn its good to be white. We dont have to worry about cops or anything!

#BlackLivesMatter",,,,,actual,,,,,,https://twitter.com/mikelbtko/status/672099546189598720
twitter,672088816237338000,2015-12-02T16:23:55Z,aandreavitch,"RT josephjett ""Until Black on Black crime results in cries of outrage
we do but turn truth merrily on its head. 
Make #BlackLivesMatter""",,,,,actual,,,1,,,https://twitter.com/mikelbtko/status/672099510013702144
twitter,671913860052484000,2015-12-02T04:48:42Z,aandreavitch,"RT josephjett ""Blacks kill blacks at 10x the rate of whites
35x the rate of Jews.
We rob our own lives of value. 
Make #BlackLivesMatter""",,,,,actual,,,,,,https://twitter.com/DanOHerrin/status/672099315771404288
twitter,671875324787994000,2015-12-02T02:15:34Z,Aasha_Marie,"Would Jesus support #BlackLivesMatter? Enlightening talk w/ @sista_theology & @RAANetwork 
https://t.co/xTolFpEYIZ https://t.co/TCj4W6C0Y7",,https://itunes.apple.com/us/podcast/pass-the-mic/id766830494?mt=2&i=356587186,,,actual,http://pbs.twimg.com/media/CVL7C7EWUAA4m_M.jpg (screenshot: 0.5373016595840454),,,,,https://twitter.com/calliope4112/status/672098998241648644
twitter,671874892191674000,2015-12-02T02:13:51Z,Aasha_Marie,"Would Jesus support #BlackLivesMatter? Enlightening talk w @sista_theology & @raannetwork 
https://t.co/xTolFpEYIZ https://t.co/fEAt87zNry",,https://itunes.apple.com/us/podcast/pass-the-mic/id766830494?mt=2&i=356587186,,,actual,http://pbs.twimg.com/media/CVL6pmqWsAE0_ks.jpg,,,,,https://twitter.com/fugitivephilo/status/672098468987408384
twitter,671893952342171000,2015-12-02T03:29:36Z,AbdulHamid2401,RT @FShirin: Those who stand for their rights change the course of history. #RosaParks #Dec1 #BlackLivesMatter,,,34,73,enrichment,,,,,,https://twitter.com/fugitivephilo/status/672098092498358272
twitter,672023152461910000,2015-12-02T12:02:59Z,AbdulTnHassan,RT @CraigCons: My FB post on how Black Americans are automatically criminalized & guilty. And White Americans? #BlackLivesMatter https://t.…,,,,,actual,http://pbs.twimg.com/media/CVOBJQjUwAAA_ce.png (screenshot: 0.9253907799720764),,,,,https://twitter.com/lawson1484/status/672098045476118528
twitter,671878954710528000,2015-12-02T02:30:00Z,ActionAid_aus,"How Rosa Parks’ legacy lives on in the #BlackLivesMatter movement
@zblay for @HuffPost #16daysofactivism https://t.co/hlEyHgr18p",,http://act.ai/1HFgB5B,-34,151,enrichment,,,,,,https://twitter.com/bydaone/status/672097552859193345
twitter,671871406154518000,2015-12-02T02:00:00Z,ActionAid_aus,"@zblay for @HuffPost: ""Parks was defiant, she was inconvenient, she was disruptive"" https://t.co/hlEyHgr18p #BlackLivesMatter",,http://act.ai/1HFgB5B,-34,151,enrichment,,,,,,https://twitter.com/CrY_aka_Keisha/status/672096433529561089
twitter,672052269047746000,2015-12-02T13:58:41Z,adaobiadibe_,RT @BlkHistStudies: Rio de Janeiro police arrested for killings of Black + mixed-race youths https://t.co/uGGqGeAUzU #BlackLivesMatter http…,,http://gu.com/p/4eyct/stw,,,actual,http://pbs.twimg.com/media/CVOb3l-WIAAVHxz.jpg,,1,,,https://twitter.com/KingPatra_/status/672096095703572480
twitter,672039978294210000,2015-12-02T13:09:51Z,adolruizf,RT @ForeignPolicy: .@Nettaaaaaaaa and @deray are mainstreaming #BlackLivesMatter. #globalthinkers https://t.co/Jd4Itf35US https://t.co/96yk…,,http://atfp.co/1XEh0H8,,,actual,http://pbs.twimg.com/media/CVJ4Q9GWsAA8s9i.jpg,,,,,https://twitter.com/YasuiLol/status/672096065185816576
twitter,672045928904179000,2015-12-02T13:33:30Z,afifahsyza,oh my god remember that one fall out boy that was defending the cops at Baltimore during a #BlackLivesMatter protest LMAAAAO,,,1,104,enrichment,,,1,,,https://twitter.com/DeKervsta/status/672095858113007617
twitter,671943425747324000,2015-12-02T06:46:11Z,AFRICANAMERICA1,RT @ErikZeusDenver: @okaytaylor Agreed! @MPRnews #Justice4Jamar #Justice4Jamar  #Justice4Jamar #BlackLivesMattermpls  @BLM5280 https://t.co…,,,,,actual,http://pbs.twimg.com/media/CUcfE7BUEAEO8ho.jpg,,,,,https://twitter.com/Visitkarte/status/672095314359267330
twitter,672085876621594000,2015-12-02T16:12:14Z,afrokai,"RT @trueblacknews: These Cops planted Drugs & Guns on Black men for years. When the KKK are the Cops what do u do?
#blacklivesmatter https:…",,,,,actual,http://pbs.twimg.com/media/CVOVtRlWwAAnXmT.png,,,,,https://twitter.com/xCemreee/status/672094663206137861
twitter,671894198816124000,2015-12-02T03:30:34Z,afrokai,RT @NavyDad0007: NEW US Attorney on the #KendrickJohnson Investigation Steven M. Dettelbach #BlackLivesMatter https://t.co/aLmIl4nmDa,,,,,actual,http://pbs.twimg.com/media/CVMAxnUWsAIYnX8.jpg (suit: 0.911072313785553),,,,,https://twitter.com/Fabmeenne/status/672094415557632002
twitter,671891512695717000,2015-12-02T03:19:54Z,afrokai,"RT @AriaStark8: #IndiaKager

#NatashaMckenna

#YvetteSmith

#TamirRice

#MatthewAjibade

#LaquanMcdonald

# ...

#BlackLivesMatter",,,,,actual,,,,,,https://twitter.com/JamesSemaj1220/status/672094315506700288
twitter,671891019172937000,2015-12-02T03:17:56Z,afrokai,RT @TheDIYLawyer: The Chicago Police Scandal    https://t.co/pByg8kRT5m #Blacklivesmatter #LaquanMcDonald #TamirRice #FreddieGray,,http://nyti.ms/1YGkdrZ,,,actual,,,,,,https://twitter.com/Dwthoma/status/672094311635279873
twitter,671925283658797000,2015-12-02T05:34:06Z,AfroXero843,RT @Patri_Archie: The #BlackLivesMatter assholes know just how stupid and gullible #SJWs are and they're taking full advantage. Well played…,,,,,actual,,,,,,https://twitter.com/CopperBronzed/status/672094159277309954
twitter,672060819836788000,2015-12-02T14:32:40Z,ahmedgazarin,RT @Kahduna: Oh my God. Makes you think. #BlackLivesMatter #TamirRice http://t.co/CCtWC0s55s,,,25,55,enrichment,http://pbs.twimg.com/media/B4iKFsUIYAAmy9o.jpg,,,,,https://twitter.com/VindiTweets/status/672094014011740160
