Source,Source ID,Time,Username,Text,File Attachments,Entity URLs,Latitude,Longitude,Geo Type,Media,Positive Sentiment Confidence,Negative Sentiment Confidence,Source URL
twitter,671952549390356000,2015-12-02T07:22:26Z,BerndRindermann,RT @RebellionReport: #WhiteLivesMatter #BlackLiesMatter #PatriotBrigade #TCOT #TGDN #WAAR #OCRA #TeaParty #GOP #UniteBlue #LiberalLogic htt…,,,,,actual,http://pbs.twimg.com/media/CVLZBa5UAAARmb7.jpg,,,https://twitter.com/BerndRindermann/status/671952549390356480
twitter,672091860660125000,2015-12-02T16:36:01Z,blackbritrock,RT @LadySandersfarm: This is great! White youth getting a gut full. #WhiteLivesMatter  https://t.co/b2D7wzS8ya https://t.co/GCbUdg4pEn,,http://www.dailywire.com/news/1406/ucsb-white-student-union-stage-white-solidarity-pardes-seleh,,,actual,http://pbs.twimg.com/media/CU8tVj6U8AATEDt.jpg,,,https://twitter.com/blackbritrock/status/672091860660125696
twitter,671958141572132000,2015-12-02T07:44:39Z,Egalitarius7,"@IAMKELLYBROOK is magic <3

#WhiteGirlsAreMagic
#WhiteLivesMatter https://t.co/GW1CKuTeZt",,,,,actual,http://pbs.twimg.com/media/CVNGVqVXIAAtI0C.jpg,,,https://twitter.com/Egalitarius7/status/671958141572132864
twitter,671956963249553000,2015-12-02T07:39:59Z,Egalitarius7,"@KateUpton is magic <3

#WhiteGirlsAreMagic
#WhiteLivesMatter https://t.co/X3lfTeAbGQ",,,,,actual,http://pbs.twimg.com/media/CVNFQ2WXIAA-PPM.jpg,,,https://twitter.com/Egalitarius7/status/671956963249553408
twitter,672064846653956000,2015-12-02T14:48:40Z,ExUnitateVires,"RT @Pienktamatie: Help VANDAG 'n familie wat gaan honger slaap
@MiljoenvirSteve @JaninevdVyver @steve_hofmeyr 
#WhiteLivesMatter http://t.c…",,,-34,18,enrichment,http://pbs.twimg.com/media/CNzf-fzU8AALcWb.jpg (pick: 0.9121326804161072),,,https://twitter.com/ExUnitateVires/status/672064846653956096
twitter,672071180115947000,2015-12-02T15:13:50Z,faro_ntsinde,You can also make #WhiteLivesMatter too. He's still a suspect.  https://t.co/MQU0S558Wb,https://twitter.com/BarracudaMama/status/672056086191587328,https://twitter.com/BarracudaMama/status/672056086191587328,,,actual,,,,https://twitter.com/faro_ntsinde/status/672071180115947520
twitter,672085385221042000,2015-12-02T16:10:17Z,LukeJFontaine,@BR_NFL I can't breathe! #WhiteLivesMatter,,,56,-106,enrichment,,,,https://twitter.com/LukeJFontaine/status/672085385221042178
twitter,672069690366156000,2015-12-02T15:07:55Z,Mak_Nation,#whitelivesmatter https://t.co/HAwFKq1XTZ,https://twitter.com/AnimalPlanet/status/671784662029770752,https://twitter.com/AnimalPlanet/status/671784662029770752,,,actual,,,,https://twitter.com/Mak_Nation/status/672069690366156800
twitter,671972532338208000,2015-12-02T08:41:51Z,Philibert26,RT @LadySandersfarm: When will media call these hate crimes? #WhiteLivesMatter  https://t.co/fxOre1Sfz0 https://t.co/pwc8cGAK11,,http://stop-hate-crimes.com/2015/11/28/white-homeless-veteran-beaten-to-death-by-black-mob-aged-12-34-in-philadelphia/,,,actual,http://pbs.twimg.com/media/CU-qGtBVEAQ_HUF.jpg,,,https://twitter.com/Philibert26/status/671972532338208768
twitter,671885156618125000,2015-12-02T02:54:39Z,redgirlrising,"RT @youhateroads: #BlackLivesMatter 
#WhiteLivesMatter 
#AllLivesMatter 

Except the 1%.",,,,,actual,,,,https://twitter.com/redgirlrising/status/671885156618125312
twitter,671876669678952000,2015-12-02T02:20:55Z,SJWarrior88,"RT @genophilia: #WhiteStudentUnions: Their time has come 
#ISaluteWhitePeople #WhiteGirlsAreMagic
#WhiteLivesMatter #WhitePeople https://t.…",,,60,8,enrichment,http://pbs.twimg.com/media/CUf3K7hUAAAfXAk.jpg,,,https://twitter.com/SJWarrior88/status/671876669678952449
twitter,671976670392393000,2015-12-02T08:58:17Z,Zam_Zonite,RT @LadySandersfarm: When will media call these hate crimes? #WhiteLivesMatter  https://t.co/fxOre1Sfz0 https://t.co/pwc8cGAK11,,http://stop-hate-crimes.com/2015/11/28/white-homeless-veteran-beaten-to-death-by-black-mob-aged-12-34-in-philadelphia/,46,2,enrichment,http://pbs.twimg.com/media/CU-qGtBVEAQ_HUF.jpg,,,https://twitter.com/Zam_Zonite/status/671976670392393728
