Source,Source ID,Time,Username,Text,File Attachments,Entity URLs,Latitude,Longitude,Geo Type,Media,Positive Sentiment Confidence,Negative Sentiment Confidence,Source URL
twitter,6.73956E+17,2015-12-07T20:02:57Z,75amurai,RT @Adamant_Yves: #BlueLivesMatter and #AllLivesMatter have been strangely silent about this. https://t.co/NDRbKdDU0l,https://twitter.com/leahmcelrath/status/670393268660666368,https://twitter.com/leahmcelrath/status/670393268660666368,56.1304,-106.3468,enrichment,,,,https://twitter.com/75amurai/status/673955876139614208
twitter,6.73934E+17,2015-12-07T18:36:37Z,JamesDeagle,More guns or fewer guns for a safer America? Don't bet on either. https://t.co/946bBv0XLE #BlueLivesMatter #BlackLivesMatter #guncontrol,,http://ln.is/blogspot.com/ZIgLK,,,actual,,,,https://twitter.com/JamesDeagle/status/673934153210032128
twitter,6.73934E+17,2015-12-07T18:36:36Z,JamesDeagle,More guns or fewer guns for a safer America? Don't bet on either. https://t.co/sB0IDQyRWQ #BlueLivesMatter #BlackLivesMatter #guncontrol,,http://jamesdeagle.blogspot.com/2015/12/more-guns-or-fewer-guns-for-safer.html?spref=tw,,,actual,,,,https://twitter.com/JamesDeagle/status/673934147988021249
twitter,6.73919E+17,2015-12-07T17:34:57Z,Dc37Deborah,RT @ThePatriot143: #ObamaSpeech Failed to Thank the Brave Men & Women Who Neutralized These Jihadi Terrorists Thugs! #BlueLivesMatter https…,,,,,actual,http://pbs.twimg.com/media/CVmHsl5WIAAASXx.jpg,,,https://twitter.com/Dc37Deborah/status/673918634201337857
twitter,6.73904E+17,2015-12-07T16:35:33Z,rdale622,"RT @LindaSuhler: I proudly support the men and women
who go UNAPPRECIATED,
doing the UNTHINKABLE
for the UNGRATEFUL.
#BlueLivesMatter http:…",,,,,actual,http://pbs.twimg.com/media/CPylTqZVEAA1EI-.jpg,,,https://twitter.com/rdale622/status/673903682409361409
twitter,6.73872E+17,2015-12-07T14:29:58Z,Flordemipadre,"RT @MrsPJNET: MT @sunbeltgirl: Relax, I'll take a bullet before you, that's for damn sure. #BlueLivesMatter https://t.co/RYSJ93gf3G #2A #NR…",,,,,actual,http://pbs.twimg.com/media/CVWZXoXW4AAvkRR.jpg,0.83,,https://twitter.com/Flordemipadre/status/673872081923268608
twitter,6.73863E+17,2015-12-07T13:55:24Z,_SallyannP,RT @SaharahShae: #BlueLivesMatter Thank you! 💙 https://t.co/aO0PcBDNKc,,,,,actual,http://pbs.twimg.com/media/CVoFrcvUAAI51FR.jpg,,,https://twitter.com/_SallyannP/status/673863381049335808
twitter,6.73858E+17,2015-12-07T13:34:02Z,WmWallace1911,RT @SaharahShae: #BlueLivesMatter Thank you! 💙 https://t.co/aO0PcBDNKc,,,,,actual,http://pbs.twimg.com/media/CVoFrcvUAAI51FR.jpg,,,https://twitter.com/WmWallace1911/status/673858002185777152
twitter,6.73856E+17,2015-12-07T13:26:15Z,CamillaBrieste,RT @ThePatriot143: #ObamaSpeech Failed to Thank the Brave Men & Women Who Neutralized These Jihadi Terrorists Thugs! #BlueLivesMatter https…,,,,,actual,http://pbs.twimg.com/media/CVmHsl5WIAAASXx.jpg,,,https://twitter.com/CamillaBrieste/status/673856044846604288
twitter,6.73835E+17,2015-12-07T12:04:06Z,wespermee,Roland Martin takes everybody to school on #BlueLIvesMAtter https://t.co/3e27XCqYO4 https://t.co/SPX9MFHj7e,,https://goo.gl/t4fpx2  http://fb.me/7JzlasJ2f,,,actual,,,,https://twitter.com/wespermee/status/673835371550101504
twitter,6.73819E+17,2015-12-07T10:59:26Z,barrye928,"RT @jstines3: God bless & protect OUR POLICE working on THANKSGIVING to keep us all safe!

#BlueLivesMatter
#PJNET
#TCOT https://t.co/lxPbl…",,,,,actual,http://pbs.twimg.com/media/CUwryAqWUAAK1Ua.jpg,,,https://twitter.com/barrye928/status/673819097348575232
twitter,6.73797E+17,2015-12-07T09:30:37Z,uFOURia,RT @malaika_apparel: Black is beautiful. Black is colorful. #BlackoutBlackFriday #BlueLivesMatter https://t.co/7dK9oxWVCx,,,,,actual,http://pbs.twimg.com/media/CU3PnqxWsAAHsyd.jpg,,,https://twitter.com/uFOURia/status/673796748062670848
twitter,6.73774E+17,2015-12-07T07:58:51Z,JaxsieJackal,RT @ThePatriot143: #ObamaSpeech Failed to Thank the Brave Men & Women Who Neutralized These Jihadi Terrorists Thugs! #BlueLivesMatter https…,,,-26.2041,28.0473,enrichment,http://pbs.twimg.com/media/CVmHsl5WIAAASXx.jpg,,,https://twitter.com/JaxsieJackal/status/673773653448925184
twitter,6.73751E+17,2015-12-07T06:29:02Z,CC2ARMS,RT @DanHRothschild: you call them palistinians - here we just call them homeless people #BlueLivesMatter @CC2ARMS @Lennydaman @JGilliam_SEAL,,,,,actual,,,,https://twitter.com/CC2ARMS/status/673751047270178816
twitter,6.73731E+17,2015-12-07T05:07:52Z,Manitobagal,"RT @jstines3: Stop trying to fix the POLICE; fix the GHETTO! 

#WakeUpAmerica #TCOT #PJNET #BlueLivesMatter @SheriffClarke 

https://t.co/C…",,,,,actual,http://pbs.twimg.com/media/CSvAE8zWwAEruhw.jpg,,0.87,https://twitter.com/Manitobagal/status/673730623505215488
twitter,6.7373E+17,2015-12-07T05:06:54Z,DannyHozack,"RT @jstines3: Stop trying to fix the POLICE; fix the GHETTO! 

#WakeUpAmerica #TCOT #PJNET #BlueLivesMatter @SheriffClarke 

https://t.co/C…",,,,,actual,http://pbs.twimg.com/media/CSvAE8zWwAEruhw.jpg,,0.87,https://twitter.com/DannyHozack/status/673730380667576320
twitter,6.73722E+17,2015-12-07T04:32:30Z,GBCoach0609,RT @ThePatriot143: #ObamaSpeech Failed to Thank the Brave Men & Women Who Neutralized These Jihadi Terrorists Thugs! #BlueLivesMatter https…,,,,,actual,http://pbs.twimg.com/media/CVmHsl5WIAAASXx.jpg,,,https://twitter.com/GBCoach0609/status/673721724245028866
twitter,6.7372E+17,2015-12-07T04:24:16Z,ketultheking786,RT @ThePatriot143: #ObamaSpeech Failed to Thank the Brave Men & Women Who Neutralized These Jihadi Terrorists Thugs! #BlueLivesMatter https…,,,,,actual,http://pbs.twimg.com/media/CVmHsl5WIAAASXx.jpg,,,https://twitter.com/ketultheking786/status/673719648966336512
twitter,6.73717E+17,2015-12-07T04:12:25Z,valmar_mags,"RT @LindaSuhler: If you don’t follow the Sheriff, you are missing the BEST!
🔸⚡️@SheriffClarke⚡️🔸

#2A
#NRA
#BlueLivesMatter
#TCOT https://t…",,,,,actual,http://pbs.twimg.com/media/CVmFJp7UEAI2Zkk.png,0.8,,https://twitter.com/valmar_mags/status/673716670414852097
twitter,6.73716E+17,2015-12-07T04:10:36Z,EscapeVelo,"RT @LindaSuhler: If you don’t follow the Sheriff, you are missing the BEST!
🔸⚡️@SheriffClarke⚡️🔸

#2A
#NRA
#BlueLivesMatter
#TCOT https://t…",,,,,actual,http://pbs.twimg.com/media/CVmFJp7UEAI2Zkk.png,0.8,,https://twitter.com/EscapeVelo/status/673716211520147456
twitter,6.73716E+17,2015-12-07T04:08:49Z,mmkitslikethis,"RT @northtxnancy936: MT @sunbeltgirl: Relax, I'll take a bullet before you, that's for damn sure. #BlueLivesMatter https://t.co/VeyLIBzCFl …",,,,,actual,http://pbs.twimg.com/media/CVWZXoXW4AAvkRR.jpg,0.79,,https://twitter.com/mmkitslikethis/status/673715760871530496
twitter,6.7371E+17,2015-12-07T03:45:50Z,Anntwerp,Shocking moment Police taser knife-wielding man in Hackney https://t.co/1XFz7p7ILg WHAT COPS HAVE TO PUT UP WITH!! #bluelivesmatter,,http://ln.is/www.dailymail.co.uk/yexnE,,,actual,,,,https://twitter.com/Anntwerp/status/673709980676173830
twitter,6.7371E+17,2015-12-07T03:45:48Z,Anntwerp,Shocking moment Police taser knife-wielding man in Hackney https://t.co/mmaLpYd9XZ WHAT COPS HAVE TO PUT UP WITH!! #bluelivesmatter,,http://www.dailymail.co.uk/video/news/video-1186351/Shocking-moment-Police-taser-knife-wielding-man-Hackney.html,,,actual,,,,https://twitter.com/Anntwerp/status/673709969485619203
