Source,Source ID,Time,Username,Text,File Attachments,Entity URLs,Latitude,Longitude,Geo Type,Media,Positive Sentiment Confidence,Negative Sentiment Confidence,Source URL
twitter,672602000000000000,2015-12-04T02:22:03Z,adidjo,RT @pacobaco_: #BlackLivesMatter 🙏🏽I jus seen dis today it was crazy man https://t.co/2htARQj3gN,,,-6.2,106.8,enrichment,http://pbs.twimg.com/ext_tw_video_thumb/672236314939359232/pu/img/JEGMGI4gAYCuqW1U.jpg,,0.8,https://twitter.com/adidjo/status/672601729943257089
twitter,672601000000000000,2015-12-04T02:19:57Z,knight_jonathan,SFPD could've done a dozen things other than shooting if they considered #MarioWoods life worth anything. #BlackLivesMatter,,,51.5,-0.1,enrichment,,,,https://twitter.com/knight_jonathan/status/672601201704235009
twitter,672601000000000000,2015-12-04T02:19:20Z,blastbeatfreakx,"RT @zappin_liberals: What say you, #BlackLivesMatter ? Someone else stealing your thunder again? LMAO! #blackLIESmatter @deray https://t.co…",,,,,actual,http://pbs.twimg.com/media/CVVrpZUUwAIe_NB.jpg,,,https://twitter.com/blastbeatfreakx/status/672601046955479040
twitter,672601000000000000,2015-12-04T02:17:54Z,RabihChatila,RT @AnonyOps: #LaquanMcDonald: How a whistleblower brought down Chicago police chief https://t.co/3KEqYIGJga #BlackLivesMatter https://t.co…,,http://www.bbc.com/news/magazine-34977807?SThisFB,33.9,35.9,enrichment,http://pbs.twimg.com/media/CVVgNfnWcAA7GV3.jpg,,,https://twitter.com/RabihChatila/status/672600686928891905
twitter,672601000000000000,2015-12-04T02:17:15Z,sallyjsara,@ForeignOfficial special episode on #BlackLivesMatter campaign in the US.  8.30pm Mon night.  Don't miss it. @ABCTV https://t.co/AC4GmFzDF1,,,-33.9,151.2,enrichment,http://pbs.twimg.com/media/CVWOnCoUYAEvmiR.jpg,,,https://twitter.com/sallyjsara/status/672600522709340161
twitter,672600000000000000,2015-12-04T02:16:34Z,knight_jonathan,It's clear from video that #MarioWoods didn't threaten the gang of cops that killed him. #BlackLivesMatter,,,51.5,-0.1,enrichment,,,0.8,https://twitter.com/knight_jonathan/status/672600348356292608
twitter,672600000000000000,2015-12-04T02:16:34Z,smallmuseumsca,"Beyond ""mint julep history""  (HT @afamhistfail @slavedwelling) >> https://t.co/g5sQ65hQe7 #museums #BlackLivesMatter https://t.co/FZcnzv0Aft",,http://goo.gl/H3kvIm,56.1,-106.3,enrichment,http://pbs.twimg.com/media/CVWOdLfUkAENPpI.jpg (screenshot: 0.9680690765380859),,,https://twitter.com/smallmuseumsca/status/672600352013852673
twitter,672600000000000000,2015-12-04T02:16:14Z,Keep_It_Roland,RT @Ooh_Lauren: #HoeLivesMatter https://t.co/K5Jgi1sjdZ,https://twitter.com/nobeeetch/status/672597466357731328,https://twitter.com/nobeeetch/status/672597466357731328,,,actual,,,,https://twitter.com/Keep_It_Roland/status/672600266609401856
twitter,672600000000000000,2015-12-04T02:15:29Z,Fabmeenne,WendellPierce #TheWiz #TheWizLive #BlackLivesMatter #LaquanMcDonald https://t.co/6sx4np4jM2,,https://goo.gl/t4fpx2,,,actual,,,,https://twitter.com/Fabmeenne/status/672600077949607936
twitter,672600000000000000,2015-12-04T02:15:28Z,Fabmeenne,Mayor #RahmEmanuel ducks and dodges Truth in #Chicago https://t.co/Glx2N5r7Yz #LaquanMcDonald  #BlackLivesMatter https://t.co/6sx4np4jM2,,http://wpo.st/3AXu0  https://goo.gl/t4fpx2,,,actual,,,,https://twitter.com/Fabmeenne/status/672600074036355075
twitter,672600000000000000,2015-12-04T02:13:54Z,ANTM_ManpreetD,RT @dumas1000: #Video Zendaya explains why #BlackLivesMatter ✊😌 https://t.co/Wj3cBB8RoG,,,51.5,-0.1,enrichment,http://pbs.twimg.com/ext_tw_video_thumb/672533150149439489/pu/img/71OFft0XsWfQpgFP.jpg,,0.8,https://twitter.com/ANTM_ManpreetD/status/672599679113273344
