Source,Source ID,Time,Username,Text,File Attachments,Entity URLs,Latitude,Longitude,Geo Type,Media,Positive Sentiment Confidence,Negative Sentiment Confidence,Source URL
twitter,672517000000000000,2015-12-03T20:46:04Z,Bark1409,RT @anomy26: #WestKillingSyrians How can west or anyone even justify these brutal killings. #StopBombingSyria #SyrianLivesMatter https://t.…,,,,,actual,http://pbs.twimg.com/media/CUQPLReWsAAvpKq.jpg,,1,https://twitter.com/Bark1409/status/672517178919362561
twitter,672509000000000000,2015-12-03T20:15:25Z,Samz_bee,RT @Hajexed: By 'wider strategy' do you mean killing Syrians in order to reduce UK immigration? #PrayForSyria #SyrianLivesMatter  https://t…,https://twitter.com/David_Cameron/status/671661072751976448,https://twitter.com/David_Cameron/status/671661072751976448,,,actual,,,,https://twitter.com/Samz_bee/status/672509464730320898
twitter,672508000000000000,2015-12-03T20:10:47Z,Hajexed,By 'wider strategy' do you mean killing Syrians in order to reduce UK immigration? #PrayForSyria #SyrianLivesMatter  https://t.co/BKvei2UF18,https://twitter.com/David_Cameron/status/671661072751976448,https://twitter.com/David_Cameron/status/671661072751976448,,,actual,,,,https://twitter.com/Hajexed/status/672508298256625664
twitter,672508000000000000,2015-12-03T20:08:19Z,Hajexed,"Yes, ofc because bombing innocent civilians is definitely going to keep us safe! #PrayForSyria #SyrianLivesMatter  https://t.co/ArTiwp7mqL",https://twitter.com/David_Cameron/status/672190400472420352,https://twitter.com/David_Cameron/status/672190400472420352,,,actual,,,,https://twitter.com/Hajexed/status/672507678023917568
twitter,672506000000000000,2015-12-03T20:02:13Z,Hajexed,If there's one thing we can take from today it is that the majority of British MPs are paigons 😑😑 #PrayForSyria #SyrianLivesMatter,,,,,actual,,,,https://twitter.com/Hajexed/status/672506142665416704
twitter,672493000000000000,2015-12-03T19:11:42Z,NoorsiaRR,"RT @Haziq_Escobar: #PrayForSyria #SyrianLivesMatter #SyriaAirStrikes

UK start bombing innocent Syria https://t.co/VlrLstdUNA",,,,,actual,http://pbs.twimg.com/media/CVUqQYyUwAAiNaQ.jpg,,1,https://twitter.com/NoorsiaRR/status/672493430359105541
twitter,672491000000000000,2015-12-03T19:01:51Z,crazy4istanbul,#davidcameronshameonyou #UKParliament  #SyriaVote #StopBombingSyria #israelsPuppets #SyrianLivesMatter https://t.co/erI4kIty0z,,,,,actual,http://pbs.twimg.com/media/CVUq8c-UYAAJGQO.jpg,,,https://twitter.com/crazy4istanbul/status/672490949881278464
twitter,672490000000000000,2015-12-03T18:57:32Z,HerCrescentVeil,"My life is not at all worth ""protecting"" if it's going to be this way. #SyrianLivesMatterToo",,,55,-3,enrichment,,,,https://twitter.com/HerCrescentVeil/status/672489862835118080
twitter,672486000000000000,2015-12-03T18:43:16Z,WhitmeeMan,RT @chrismayLU: #syriaairstrikes go ahead amid too much disucssion of how it impacts @UKLabour - lets now remember that #SyrianLivesMatter …,,,,,actual,,,,https://twitter.com/WhitmeeMan/status/672486273500782592
twitter,672486000000000000,2015-12-03T18:43:01Z,HerCrescentVeil,ISIS misinterpreted the concept of Jihad. @David_Cameron you have lost the concept of humanity. #SyrianLivesMatterToo,,,55,-3,enrichment,,,1,https://twitter.com/HerCrescentVeil/status/672486212121272320
