Source,Source ID,Time,Username,Text,File Attachments,Entity URLs,Latitude,Longitude,Geo Type,Media,Positive Sentiment Confidence,Negative Sentiment Confidence,Source URL
twitter,673935796575993000,2015-12-07T18:43:09Z,pierpaoloruzzi,"RT @azblonde2015: #TeamTrump MilitaryMonday  #SupportOurTroops #veteranslivesmatter 
#MakeAmericaGreatAgain JOIN THE MOVEMENT TRUMP 16 http…",https://twitter.com/NSQAmerican/status/673933242152562692,https://twitter.com/NSQAmerican/status/673933242152562692,,,actual,,,,https://twitter.com/pierpaoloruzzi/status/673935796575993856
twitter,673934765737664000,2015-12-07T18:39:03Z,pierpaoloruzzi,"RT @azblonde2015: #TeamTrump MilitaryMonday  #SupportOurTroops #veteranslivesmatter 
#MakeAmericaGreatAgain JOIN THE MOVEMENT TRUMP 16 http…",,,,,actual,http://pbs.twimg.com/media/CVpKsc4UEAA-Q1W.jpg,,,https://twitter.com/pierpaoloruzzi/status/673934765737664512
twitter,673927912438038000,2015-12-07T18:11:49Z,RamonaLuther,"RT @azblonde2015: #TeamTrump MilitaryMonday  #SupportOurTroops #veteranslivesmatter 
#MakeAmericaGreatAgain JOIN THE MOVEMENT TRUMP 16 http…",,,,,actual,http://pbs.twimg.com/media/CVpFPL3VAAAONio.jpg,,,https://twitter.com/RamonaLuther/status/673927912438038528
twitter,673910255961509000,2015-12-07T17:01:40Z,RTD525,RT @azblonde2015: MilitaryMonday  #SupportOurTroops #veteranslivesmatter #Tears   https://t.co/CFBSLCWP3k,https://twitter.com/camboviet/status/673847539939057664,https://twitter.com/camboviet/status/673847539939057664,,,actual,,,,https://twitter.com/RTD525/status/673910255961509889
twitter,673905987699531000,2015-12-07T16:44:42Z,z_chrissie,RT @azblonde2015: MilitaryMonday  #SupportOurTroops #veteranslivesmatter #Tears   https://t.co/iUarQMxirA,https://twitter.com/SSHonorFlight/status/671311309934346240,https://twitter.com/SSHonorFlight/status/671311309934346240,,,actual,,,,https://twitter.com/z_chrissie/status/673905987699531776
twitter,673904977857937000,2015-12-07T16:40:41Z,AWyaed2,"RT @azblonde2015: MilitaryMonday  #SupportOurTroops #veteranslivesmatter #Tears  
MERRY CHRISTMAS TO OUR TROOPS!  https://t.co/7KNQGhJRB1",https://twitter.com/AWyaed2/status/673877147627450368,https://twitter.com/AWyaed2/status/673877147627450368,,,actual,,,,https://twitter.com/AWyaed2/status/673904977857937408
twitter,673763124000915000,2015-12-07T07:17:01Z,F22Ross,"RT @AZPatriot01: How most of us #Veterans feel about Obama the TRAITOR!

#TCOT
#Hooyah

#VeteransLivesMatter
#VeteransBeforeIllegals https:…",,,,,actual,http://pbs.twimg.com/media/CVkkEmyUsAASJpz.png,,,https://twitter.com/F22Ross/status/673763124000915456
twitter,673661630249586000,2015-12-07T00:33:43Z,RoeMasterNYC,"RT @AZPatriot01: How most of us #Veterans feel about Obama the TRAITOR!

#TCOT
#Hooyah

#VeteransLivesMatter
#VeteransBeforeIllegals https:…",,,,,actual,http://pbs.twimg.com/media/CVkkEmyUsAASJpz.png,,,https://twitter.com/RoeMasterNYC/status/673661630249586688
twitter,673642365127557000,2015-12-06T23:17:10Z,DavidDCarpenter,"RT @AZPatriot01: How most of us #Veterans feel about Obama the TRAITOR!

#TCOT
#Hooyah

#VeteransLivesMatter
#VeteransBeforeIllegals https:…",,,,,actual,http://pbs.twimg.com/media/CVkkEmyUsAASJpz.png,,,https://twitter.com/DavidDCarpenter/status/673642365127557122
twitter,673629247286730000,2015-12-06T22:25:02Z,jez009,"RT @AZPatriot01: How most of us #Veterans feel about Obama the TRAITOR!

#TCOT
#Hooyah

#VeteransLivesMatter
#VeteransBeforeIllegals https:…",,,54.9714,-2.7428,enrichment,http://pbs.twimg.com/media/CVkkEmyUsAASJpz.png,,,https://twitter.com/jez009/status/673629247286730752
twitter,673624427725201000,2015-12-06T22:05:53Z,KnightBLKRifle,"RT @AZPatriot01: How most of us #Veterans feel about Obama the TRAITOR!

#TCOT
#Hooyah

#VeteransLivesMatter
#VeteransBeforeIllegals https:…",,,,,actual,http://pbs.twimg.com/media/CVkkEmyUsAASJpz.png,,,https://twitter.com/KnightBLKRifle/status/673624427725201408
twitter,673621580425990000,2015-12-06T21:54:34Z,Jacqi_Foster,"RT @AZPatriot01: How most of us #Veterans feel about Obama the TRAITOR!

#TCOT
#Hooyah

#VeteransLivesMatter
#VeteransBeforeIllegals https:…",,,-33.8675,151.207,enrichment,http://pbs.twimg.com/media/CVkkEmyUsAASJpz.png,,,https://twitter.com/Jacqi_Foster/status/673621580425990145
twitter,673617258443313000,2015-12-06T21:37:24Z,Wauwelwok,"RT @AZPatriot01: How most of us #Veterans feel about Obama the TRAITOR!

#TCOT
#Hooyah

#VeteransLivesMatter
#VeteransBeforeIllegals https:…",,,52.1326,5.2913,enrichment,http://pbs.twimg.com/media/CVkkEmyUsAASJpz.png,,,https://twitter.com/Wauwelwok/status/673617258443313152
twitter,673610867460734000,2015-12-06T21:12:00Z,Sarah07909750,"RT @AZPatriot01: How most of us #Veterans feel about Obama the TRAITOR!

#TCOT
#Hooyah

#VeteransLivesMatter
#VeteransBeforeIllegals https:…",,,54.9714,-2.7428,enrichment,http://pbs.twimg.com/media/CVkkEmyUsAASJpz.png,,,https://twitter.com/Sarah07909750/status/673610867460734977
twitter,673165342974287000,2015-12-05T15:41:39Z,Blood72Hound,"RT @AZPatriot01: Hey @POTUS remember THIS TRAITOR?!

#VAScandal
#VeteransLivesMatter
#VeteransBeforeIllegals

https://t.co/q0QBW5P9f3 https…",,https://youtu.be/VzXzid9vJCI,,,actual,http://pbs.twimg.com/media/CVaq1VUWsAUpa0j.png,,,https://twitter.com/Blood72Hound/status/673165342974287872
twitter,673120858991370000,2015-12-05T12:44:53Z,JasonofThessaly,"RT @AZPatriot01: Hey @POTUS remember THIS TRAITOR?!

#VAScandal
#VeteransLivesMatter
#VeteransBeforeIllegals

https://t.co/q0QBW5P9f3 https…",,https://youtu.be/VzXzid9vJCI,,,actual,http://pbs.twimg.com/media/CVaq1VUWsAUpa0j.png,,,https://twitter.com/JasonofThessaly/status/673120858991370241
