Source,Source ID,Time,Username,Text,File Attachments,Entity URLs,Latitude,Longitude,Geo Type,Media,Positive Sentiment Confidence,Negative Sentiment Confidence,Source URL
twitter,672602000000000000,2015-12-04T02:25:01Z,AquarianGawdess,RT @DineshDSouza: This earlier group of Democrats could easily have called themselves #WhiteLivesMatter https://t.co/lszPXnBE1F,,,,,actual,http://pbs.twimg.com/media/CTFmY_OUwAA7x6f.jpg,,,https://twitter.com/AquarianGawdess/status/672602478106537984
twitter,672574000000000000,2015-12-04T00:31:57Z,Nickouadio,RT @IjaPeters: #WhiteLivesMatter is the epitome of white privilege.,,,,,actual,,,,https://twitter.com/Nickouadio/status/672574023700635648
twitter,672573000000000000,2015-12-04T00:29:36Z,amentilone,RT @14Resistance: #WhiteLivesMatter #WakeUpAmerica #WorkingClass #WhitePower http://t.co/aMTYms0Gqf,,,,,actual,http://pbs.twimg.com/media/CKkaUwPUcAAMFr9.jpg,,,https://twitter.com/amentilone/status/672573430689103872
twitter,672558000000000000,2015-12-03T23:29:50Z,AnikiVidya,RT @SniparsNiall: im going to take a piss all over an A4 printout of the united states government homepage #Daesh #WhiteLivesMatter #AllLiv…,,,51.5074,-0.1278,enrichment,,,,https://twitter.com/AnikiVidya/status/672558391190011905
twitter,672558000000000000,2015-12-03T23:28:22Z,SniparsNiall,im going to take a piss all over an A4 printout of the united states government homepage #Daesh #WhiteLivesMatter #AllLivesMatter,,,,,actual,,,,https://twitter.com/SniparsNiall/status/672558022724616193
twitter,672558000000000000,2015-12-03T23:27:28Z,SniparsNiall,fuck isis #WhiteLivesMatter,,,,,actual,,,,https://twitter.com/SniparsNiall/status/672557793866575872
twitter,672556000000000000,2015-12-03T23:20:54Z,billpierce1488,RT @CRBillingr: #WhiteGirlsAreMagic follow @mkapp_ @genophilia #WhiteLivesMatter #biology #science #endculturalmarxism #WhitePeople https:/…,,,,,actual,http://pbs.twimg.com/media/CVDjKiQU4AAz8Vd.jpg (seat belt: 0.8289332389831543),,,https://twitter.com/billpierce1488/status/672556144125177856
twitter,672552000000000000,2015-12-03T23:06:09Z,heyitsabah,This wouldnt be funny is she was black #WhiteLivesMatter,,,53.4808,53.4808,enrichment,,,,https://twitter.com/heyitsabah/status/672552431587315713
twitter,672543000000000000,2015-12-03T22:27:30Z,bigbird432,@ReBourneAgain @Amazing1MDB #WhiteLivesMatter lol,,,,,actual,,,,https://twitter.com/bigbird432/status/672542705126371330
twitter,672529000000000000,2015-12-03T21:31:28Z,GreggoSandsMP,#WhiteLivesMatter https://t.co/uV8Kn6AIBY,,,,,actual,http://pbs.twimg.com/media/CVVNL89WUAA5bVC.jpg,,,https://twitter.com/GreggoSandsMP/status/672528601284222978
twitter,672524000000000000,2015-12-03T21:13:41Z,Cosmixer,#WhiteLivesMatter  https://t.co/SqgFZzjDlG,https://twitter.com/vdare/status/672424627776434176,https://twitter.com/vdare/status/672424627776434176,51.5074,-0.1278,enrichment,,,,https://twitter.com/Cosmixer/status/672524127593451520
twitter,672472000000000000,2015-12-03T17:48:02Z,jysbr,Are there really MULTIPLE white people offended by The Wiz having an all black cast? #TheWiz #WhiteLivesMatter,,,,,actual,,,,https://twitter.com/jysbr/status/672472374940405760
twitter,672469000000000000,2015-12-03T17:35:46Z,DjBoogieBang,#WhiteLivesMatter  https://t.co/n4Cs52vAAo,https://twitter.com/complexmag/status/672460302592704512,https://twitter.com/complexmag/status/672460302592704512,,,actual,,,,https://twitter.com/DjBoogieBang/status/672469287471292416
twitter,672443000000000000,2015-12-03T15:53:05Z,Franci_Gambo,RT @adamdawkins: Some lives are more ‘sacredthan others. Prevent potential GB deaths by ensuring Syrian ones. #WhiteLivesMatterMore https:/…,https://twitter.com/iyad_elbaghdadi/status/672418176718626816,https://twitter.com/iyad_elbaghdadi/status/672418176718626816,,,actual,,,,https://twitter.com/Franci_Gambo/status/672443446167248897
twitter,672428000000000000,2015-12-03T14:52:44Z,havantacluOTMP,RT @adamdawkins: Some lives are more ‘sacredthan others. Prevent potential GB deaths by ensuring Syrian ones. #WhiteLivesMatterMore https:/…,https://twitter.com/iyad_elbaghdadi/status/672418176718626816,https://twitter.com/iyad_elbaghdadi/status/672418176718626816,,,actual,,,,https://twitter.com/havantacluOTMP/status/672428260161150976
twitter,672426000000000000,2015-12-03T14:43:51Z,mcfuckingduff,RT @adamdawkins: Some lives are more ‘sacredthan others. Prevent potential GB deaths by ensuring Syrian ones. #WhiteLivesMatterMore https:/…,https://twitter.com/iyad_elbaghdadi/status/672418176718626816,https://twitter.com/iyad_elbaghdadi/status/672418176718626816,53.4808,53.4808,enrichment,,,,https://twitter.com/mcfuckingduff/status/672426023099723776
twitter,672426000000000000,2015-12-03T14:43:19Z,iyad_elbaghdadi,RT @adamdawkins: Some lives are more ‘sacredthan others. Prevent potential GB deaths by ensuring Syrian ones. #WhiteLivesMatterMore https:/…,https://twitter.com/iyad_elbaghdadi/status/672418176718626816,https://twitter.com/iyad_elbaghdadi/status/672418176718626816,,,actual,,,,https://twitter.com/iyad_elbaghdadi/status/672425890156929024
twitter,672423000000000000,2015-12-03T14:32:23Z,ChibicoreGaming,"#WhiteLivesMatter 
Free the 4th Precinct Four.",,,,,actual,,,,https://twitter.com/ChibicoreGaming/status/672423138022551553
twitter,672419000000000000,2015-12-03T14:17:12Z,adamdawkins,Some lives are more ‘sacredthan others. Prevent potential GB deaths by ensuring Syrian ones. #WhiteLivesMatterMore https://t.co/Vvtc5k8gyi,https://twitter.com/iyad_elbaghdadi/status/672418176718626816,https://twitter.com/iyad_elbaghdadi/status/672418176718626816,,,actual,,,,https://twitter.com/adamdawkins/status/672419314209857536
twitter,672372000000000000,2015-12-03T11:10:25Z,LordRamesses,RT @marcuskdowling: #whitelivesmatter - Why Do We Humanize White Guys Who Kill People? https://t.co/WriSoszUOK via @TheCut,,http://nymag.com/thecut/2015/12/white-male-murderers-planned-parenthood-robert-dear.html?mid=twitter-share-thecut,,,actual,,,,https://twitter.com/LordRamesses/status/672372309034971137
